INPUT:
Initial heat treatment:    1025 C
Cooling rate:    10 C/s
Isothermal holding at: 788 C for: 8 h
Gamma grain size: 4.5 ASTM

RESULTS:

 Gamma' fraction at sub-solvus: none
 Gamma' fraction formed after cooling: none
 Gamma' Fraction formed during isothermal holding: 0.0674
            with size: 23.76 nm

 Gamma" fraction at sub-solvus: none
 Gamma" fraction formed after cooling: none
 Gamma" fraction formed during isothermal holding: 0.0809
            with size: 66.79 nm

 0.2% Proof Stress: 1046.15 MPa / 151.75 ksi
 Tensile Stress:    1386.11 MPa / 201.06 ksi
 Hardness:          380.63 VPN / 39.11 HrC

'Time(min)'	Gamma` isothermal	Gamma" isothermal
0.162	0.0	0.0
0.163	0.0	0.0
0.165	0.0	0.0
0.167	0.0	0.0
0.168	0.0	0.0
0.17	0.0	0.0
0.172	0.0	0.0
0.173	0.0	0.0
0.175	0.0	0.0
0.177	0.0	0.0
0.178	0.0	0.0
0.18	0.0	0.0
0.182	0.0	0.0
0.183	0.0	0.0
0.185	0.0	0.0
0.187	0.0	0.0
0.188	0.0	0.0
0.19	0.0	0.0
0.192	0.0	0.0
0.193	0.0	0.0
0.195	0.0	0.0
0.197	0.0	0.0
0.198	0.0	0.0
0.2	0.0	0.0
0.202	0.0	0.0
0.203	0.0	0.0
0.205	0.0	0.0
0.207	0.0	0.0
0.208	0.0	0.0
0.21	0.0	0.0
0.212	0.0	0.0
0.213	0.0	0.0
0.215	0.0	0.0
0.217	0.0	0.0
0.218	0.0	0.0
0.22	0.0	0.0
0.222	0.0	0.0
0.223	0.0	0.0
0.225	0.0	0.0
0.227	0.0	0.0
0.228	0.0	0.0
0.23	0.0	0.0
0.232	0.0	0.0
0.233	0.0	0.0
0.235	0.0	0.0
0.237	0.0	0.0
0.238	0.0	0.0
0.24	0.0	0.0
0.242	0.0	0.0
0.243	0.0	0.0
0.245	0.0	0.0
0.247	0.0	0.0
0.248	0.0	0.0
0.25	0.0	0.0
0.252	0.0	0.0
0.253	0.0	0.0
0.255	0.0	0.0
0.257	0.0	0.0
0.258	0.0	0.0
0.26	0.0	0.0
0.262	0.0	0.0
0.263	0.0	0.0
0.265	0.0	0.0
0.267	0.0	0.0
0.268	0.0	0.0
0.27	0.0	0.0
0.272	0.0	0.0
0.273	0.0	0.0
0.275	0.0	0.0
0.277	0.0	0.0
0.278	0.0	0.0
0.28	0.0	0.0
0.282	0.0	0.0
0.283	0.0	0.0
0.285	0.0	0.0
0.287	0.0	0.0
0.288	0.0	0.0
0.29	0.0	0.0
0.292	0.0	0.0
0.293	0.0	0.0
0.295	0.0	0.0
0.297	0.0	0.0
0.298	0.0	0.0
0.3	0.0	0.0
0.302	0.0	0.0
0.303	0.0	0.0
0.305	0.0	0.0
0.307	0.0	0.0
0.308	0.0	0.0
0.31	0.0	0.0
0.312	0.0	0.0
0.313	0.0	0.0
0.315	0.0	0.0
0.317	0.0	0.0
0.318	0.0	0.0
0.32	0.0	0.0
0.322	0.0	0.0
0.323	0.0	0.0
0.325	0.0	0.0
0.327	0.0	0.0
0.328	0.0	0.0
0.33	0.0	0.0
0.332	0.0	0.0
0.333	0.0	0.0
0.335	0.0	0.0
0.337	0.0	0.0
0.338	0.0	0.0
0.34	0.0	0.0
0.342	0.0	0.0
0.343	0.0	0.0
0.345	0.0	0.0
0.347	0.0	0.0
0.348	0.0	0.0
0.35	0.0	0.0
0.352	0.0	0.0
0.353	0.0	0.0
0.355	0.0	0.0
0.357	0.0	0.0
0.358	0.0	0.0
0.36	0.0	0.0
0.362	0.0	0.0
0.363	0.0	0.0
0.365	0.0	0.0
0.367	0.0	0.0
0.368	0.0	0.0
0.37	0.0	0.0
0.372	0.0	0.0
0.373	0.0	0.0
0.375	0.0	0.0
0.377	0.0	0.0
0.378	0.0	0.0
0.38	0.0	0.0
0.382	0.0	0.0
0.383	0.0	0.0
0.385	0.0	0.0
0.387	0.0	0.0
0.388	0.0	0.0
0.39	0.0	0.0
0.392	0.0	0.0
0.393	0.0	0.0
0.395	0.0	0.0
0.397	0.0	0.0
0.398	0.0	0.0
0.4	0.0	0.0
0.402	0.0	0.0
0.403	0.0	0.0
0.405	0.0	0.0
0.407	0.0	0.0
0.408	0.0	0.0
0.41	0.0	0.0
0.412	0.0	0.0
0.413	0.0	0.0
0.415	0.0	0.0
0.417	0.0	0.0
0.418	0.0	0.0
0.42	0.0	0.0
0.422	0.0	0.0
0.423	0.0	0.0
0.425	0.0	0.0
0.427	0.0	0.0
0.428	0.0	0.0
0.43	0.0	0.0
0.432	0.0	0.0
0.433	0.0	0.0
0.435	0.0	0.0
0.437	0.0	0.0
0.438	0.0	0.0
0.44	0.0	0.0
0.442	0.0	0.0
0.443	0.0	0.0
0.445	0.0	0.0
0.447	0.0	0.0
0.448	0.0	0.0
0.45	0.0	0.0
0.452	0.0	0.0
0.453	0.0	0.0
0.455	0.0	0.0
0.457	0.0	0.0
0.458	0.0	0.0
0.46	0.0	0.0
0.462	0.0	0.0
0.463	0.0	0.0
0.465	0.0	0.0
0.467	0.0	0.0
0.468	0.0	0.0
0.47	0.0	0.0
0.472	0.0	0.0
0.473	0.0	0.0
0.475	0.0	0.0
0.477	0.0	0.0
0.478	0.0	0.0
0.48	0.0	0.0
0.482	0.0	0.0
0.483	0.0	0.0
0.485	0.0	0.0
0.487	0.0	0.0
0.488	0.0	0.0
0.49	0.0	0.0
0.492	0.0	0.0
0.493	0.0	0.0
0.495	0.0	0.0
0.497	0.0	0.0
0.498	0.0	0.0
0.5	0.0	0.0
0.502	0.0	0.0
0.503	0.0	0.0
0.505	0.0	0.0
0.507	0.0	0.0
0.508	0.0	0.0
0.51	0.0	0.0
0.512	0.0	0.0
0.513	0.0	0.0
0.515	0.0	0.0
0.517	0.0	0.0
0.518	0.0	0.0
0.52	0.0	0.0
0.522	0.0	0.0
0.523	0.0	0.0
0.525	0.0	0.0
0.527	0.0	0.0
0.528	0.0	0.0
0.53	0.0	0.0
0.532	0.0	0.0
0.533	0.0	0.0
0.535	0.0	0.0
0.537	0.0	0.0
0.538	0.0	0.0
0.54	0.0	0.0
0.542	0.0	0.0
0.543	0.0	0.0
0.545	0.0	0.0
0.547	0.0	0.0
0.548	0.0	0.0
0.55	0.0	0.0
0.552	0.0	0.0
0.553	0.0	0.0
0.555	0.0	0.0
0.557	0.0	0.0
0.558	0.0	0.0
0.56	0.0	0.0
0.562	0.0	0.0
0.563	0.0	0.0
0.565	0.0	0.0
0.567	0.0	0.0
0.568	0.0	0.0
0.57	0.0	0.0
0.572	0.0	0.0
0.573	0.0	0.0
0.575	0.0	0.0
0.577	0.0	0.0
0.578	0.0	0.0
0.58	0.0	0.0
0.582	0.0	0.0
0.583	0.0	0.0
0.585	0.0	0.0
0.587	0.0	0.0
0.588	0.0	0.0
0.59	0.0	0.0
0.592	0.0	0.0
0.593	0.0	0.0
0.595	0.0	0.0
0.597	0.0	0.0
0.598	0.0	0.0
0.6	0.0	0.0
0.602	0.0	0.0
0.603	0.0	0.0
0.605	0.0	0.0
0.607	0.0	0.0
0.608	0.0	0.0
0.61	0.0	0.0
0.612	0.0	0.0
0.613	0.0	0.0
0.615	0.0	0.0
0.617	0.0	0.0
0.618	0.0	0.0
0.62	0.0	0.0
0.622	0.0	0.0
0.623	0.0	0.0
0.625	0.0	0.0
0.627	0.0	0.0
0.628	0.0	0.0
0.63	0.0	0.0
0.632	0.0	0.0
0.633	0.0	0.0
0.635	0.0	0.0
0.637	0.0	0.0
0.638	0.0	0.0
0.64	0.0	0.0
0.642	0.0	0.0
0.643	0.0	0.0
0.645	0.0	0.0
0.647	0.0	0.0
0.648	0.0	0.0
0.65	0.0	0.0
0.652	0.0	0.0
0.653	0.0	0.0
0.655	0.0	0.0
0.657	0.0	0.0
0.658	0.0	0.0
0.66	0.0	0.0
0.662	0.0	0.0
0.663	0.0	0.0
0.665	0.0	0.0
0.667	0.0	0.0
0.668	0.0	0.0
0.67	0.0	0.0
0.672	0.0	0.0
0.673	0.0	0.0
0.675	0.0	0.0
0.677	0.0	0.0
0.678	0.0	0.0
0.68	0.0	0.0
0.682	0.0	0.0
0.683	0.0	0.0
0.685	0.0	0.0
0.687	0.0	0.0
0.688	0.0	0.0
0.69	0.0	0.0
0.692	0.0	0.0
0.693	0.0	0.0
0.695	0.0	0.0
0.697	0.0	0.0
0.698	0.0	0.0
0.7	0.0	0.0
0.702	0.0	0.0
0.703	0.0	0.0
0.705	0.0	0.0
0.707	0.0	0.0
0.708	0.0	0.0
0.71	0.0	0.0
0.712	0.0	0.0
0.713	0.0	0.0
0.715	0.0	0.0
0.717	0.0	0.0
0.718	0.0	0.0
0.72	0.0	0.0
0.722	0.0	0.0
0.723	0.0	0.0
0.725	0.0	0.0
0.727	0.0	0.0
0.728	0.0	0.0
0.73	0.0	0.0
0.732	0.0	0.0
0.733	0.0	0.0
0.735	0.0	0.0
0.737	0.0	0.0
0.738	0.0	0.0
0.74	0.0	0.0
0.742	0.0	0.0
0.743	0.0	0.0
0.745	0.0	0.0
0.747	0.0	0.0
0.748	0.0	0.0
0.75	0.0	0.0
0.752	0.0	0.0
0.753	0.0	0.0
0.755	0.0	0.0
0.757	0.0	0.0
0.758	0.0	0.0
0.76	0.0	0.0
0.762	0.0	0.0
0.763	0.0	0.0
0.765	0.0	0.0
0.767	0.0	0.0
0.768	0.0	0.0
0.77	0.0	0.0
0.772	0.0	0.0
0.773	0.0	0.0
0.775	0.0	0.0
0.777	0.0	0.0
0.778	0.0	0.0
0.78	0.0	0.0
0.782	0.0	0.0
0.783	0.0	0.0
0.785	0.0	0.0
0.787	0.0	0.0
0.788	0.0	0.0
0.79	0.0	0.0
0.792	0.0	0.0
0.793	0.0	0.0
0.795	0.0	0.0
0.797	0.0	0.0
0.798	0.0	0.0
0.8	0.0	0.0
0.802	0.0	0.0
0.803	0.0	0.0
0.805	0.0	0.0
0.807	0.0	0.0
0.808	0.0	0.0
0.81	0.0	0.0
0.812	0.0	0.0
0.813	0.0	0.0
0.815	0.0	0.0
0.817	0.0	0.0
0.818	0.0	0.0
0.82	0.0	0.0
0.822	0.0	0.0
0.823	0.0	0.0
0.825	0.0	0.0
0.827	0.0	0.0
0.828	0.0	0.0
0.83	0.0	0.0
0.832	0.0	0.0
0.833	0.0	0.0
0.835	0.0	0.0
0.837	0.0	0.0
0.838	0.0	0.0
0.84	0.0	0.0
0.842	0.0	0.0
0.843	0.0	0.0
0.845	0.0	0.0
0.847	0.0	0.0
0.848	0.0	0.0
0.85	0.0	0.0
0.852	0.0	0.0
0.853	0.0	0.0
0.855	0.0	0.0
0.857	0.0	0.0
0.858	0.0	0.0
0.86	0.0	0.0
0.862	0.0	0.0
0.863	0.0	0.0
0.865	0.0	0.0
0.867	0.0	0.0
0.868	0.0	0.0
0.87	0.0	0.0
0.872	0.0	0.0
0.873	0.0	0.0
0.875	0.0	0.0
0.877	0.0	0.0
0.878	0.0	0.0
0.88	0.0	0.0
0.882	0.0	0.0
0.883	0.0	0.0
0.885	0.0	0.0
0.887	0.0	0.0
0.888	0.0	0.0
0.89	0.0	0.0
0.892	0.0	0.0
0.893	0.0	0.0
0.895	0.0	0.0
0.897	0.0	0.0
0.898	0.0	0.0
0.9	0.0	0.0
0.902	0.0	0.0
0.903	0.0	0.0
0.905	0.0	0.0
0.907	0.0	0.0
0.908	0.0	0.0
0.91	0.0	0.0
0.912	0.0	0.0
0.913	0.0	0.0
0.915	0.0	0.0
0.917	0.0	0.0
0.918	0.0	0.0
0.92	0.0	0.0
0.922	0.0	0.0
0.923	0.0	0.0
0.925	0.0	0.0
0.927	0.0	0.0
0.928	0.0	0.0
0.93	0.0	0.0
0.932	0.0	0.0
0.933	0.0	0.0
0.935	0.0	0.0
0.937	0.0	0.0
0.938	0.0	0.0
0.94	0.0	0.0
0.942	0.0	0.0
0.943	0.0	0.0
0.945	0.0	0.0
0.947	0.0	0.0
0.948	0.0	0.0
0.95	0.0	0.0
0.952	0.0	0.0
0.953	0.0	0.0
0.955	0.0	0.0
0.957	0.0	0.0
0.958	0.0	0.0
0.96	0.0	0.0
0.962	0.0	0.0
0.963	0.0	0.0
0.965	0.0	0.0
0.967	0.0	0.0
0.968	0.0	0.0
0.97	0.0	0.0
0.972	0.0	0.0
0.973	0.0	0.0
0.975	0.0	0.0
0.977	0.0	0.0
0.978	0.0	0.0
0.98	0.0	0.0
0.982	0.0	0.0
0.983	0.0	0.0
0.985	0.0	0.0
0.987	0.0	0.0
0.988	0.0	0.0
0.99	0.0	0.0
0.992	0.0	0.0
0.993	0.0	0.0
0.995	0.0	0.0
0.997	0.0	0.0
0.998	0.0	0.0
1.0	0.0	0.0
1.002	0.0	0.0
1.003	0.0	0.0
1.005	0.0	0.0
1.007	0.0	0.0
1.008	0.0	0.0
1.01	0.0	0.0
1.012	0.0	0.0
1.013	0.0	0.0
1.015	0.0	0.0
1.017	0.0	0.0
1.018	0.0	0.0
1.02	0.0	0.0
1.022	0.0	0.0
1.023	0.0	0.0
1.025	0.0	0.0
1.027	0.0	0.0
1.028	0.0	0.0
1.03	0.0	0.0
1.032	0.0	0.0
1.033	0.0	0.0
1.035	0.0	0.0
1.037	0.0	0.0
1.038	0.0	0.0
1.04	0.0	0.0
1.042	0.0	0.0
1.043	0.0	0.0
1.045	0.0	0.0
1.047	0.0	0.0
1.048	0.0	0.0
1.05	0.0	0.0
1.052	0.0	0.0
1.053	0.0	0.0
1.055	0.0	0.0
1.057	0.0	0.0
1.058	0.0	0.0
1.06	0.0	0.0
1.062	0.0	0.0
1.063	0.0	0.0
1.065	0.0	0.0
1.067	0.0	0.0
1.068	0.0	0.0
1.07	0.0	0.0
1.072	0.0	0.0
1.073	0.0	0.0
1.075	0.0	0.0
1.077	0.0	0.0
1.078	0.0	0.0
1.08	0.0	0.0
1.082	0.0	0.0
1.083	0.0	0.0
1.085	0.0	0.0
1.087	0.0	0.0
1.088	0.0	0.0
1.09	0.0	0.0
1.092	0.0	0.0
1.093	0.0	0.0
1.095	0.0	0.0
1.097	0.0	0.0
1.098	0.0	0.0
1.1	0.0	0.0
1.102	0.0	0.0
1.103	0.0	0.0
1.105	0.0	0.0
1.107	0.0	0.0
1.108	0.0	0.0
1.11	0.0	0.0
1.112	0.0	0.0
1.113	0.0	0.0
1.115	0.0	0.0
1.117	0.0	0.0
1.118	0.0	0.0
1.12	0.0	0.0
1.122	0.0	0.0
1.123	0.0	0.0
1.125	0.0	0.0
1.127	0.0	0.0
1.128	0.0	0.0
1.13	0.0	0.0
1.132	0.0	0.0
1.133	0.0	0.0
1.135	0.0	0.0
1.137	0.0	0.0
1.138	0.0	0.0
1.14	0.0	0.0
1.142	0.0	0.0
1.143	0.0	0.0
1.145	0.0	0.0
1.147	0.0	0.0
1.148	0.0	0.0
1.15	0.0	0.0
1.152	0.0	0.0
1.153	0.0	0.0
1.155	0.0	0.0
1.157	0.0	0.0
1.158	0.0	0.0
1.16	0.0	0.0
1.162	0.0	0.0
1.163	0.0	0.0
1.165	0.0	0.0
1.167	0.0	0.0
1.168	0.0	0.0
1.17	0.0	0.0
1.172	0.0	0.0
1.173	0.0	0.0
1.175	0.0	0.0
1.177	0.0	0.0
1.178	0.0	0.0
1.18	0.0	0.0
1.182	0.0	0.0
1.183	0.0	0.0
1.185	0.0	0.0
1.187	0.0	0.0
1.188	0.0	0.0
1.19	0.0	0.0
1.192	0.0	0.0
1.193	0.0	0.0
1.195	0.0	0.0
1.197	0.0	0.0
1.198	0.0	0.0
1.2	0.0	0.0
1.202	0.0	0.0
1.203	0.0	0.0
1.205	0.0	0.0
1.207	0.0	0.0
1.208	0.0	0.0
1.21	0.0	0.0
1.212	0.0	0.0
1.213	0.0	0.0
1.215	0.0	0.0
1.217	0.0	0.0
1.218	0.0	0.0
1.22	0.0	0.0
1.222	0.0	0.0
1.223	0.0	0.0
1.225	0.0	0.0
1.227	0.0	0.0
1.228	0.0	0.0
1.23	0.0	0.0
1.232	0.0	0.0
1.233	0.0	0.0
1.235	0.0	0.0
1.237	0.0	0.0
1.238	0.0	0.0
1.24	0.0	0.0
1.242	0.0	0.0
1.243	0.0	0.0
1.245	0.0	0.0
1.247	0.0	0.0
1.248	0.0	0.0
1.25	0.0	0.0
1.252	0.0	0.0
1.253	0.0	0.0
1.255	0.0	0.0
1.257	0.0	0.0
1.258	0.0	0.0
1.26	0.0	0.0
1.262	0.0	0.0
1.263	0.0	0.0
1.265	0.0	0.0
1.267	0.0	0.0
1.268	0.0	0.0
1.27	0.0	0.0
1.272	0.0	0.0
1.273	0.0	0.0
1.275	0.0	0.0
1.277	0.0	0.0
1.278	0.0	0.0
1.28	0.0	0.0
1.282	0.0	0.0
1.283	0.0	0.0
1.285	0.0	0.0
1.287	0.0	0.0
1.288	0.0	0.0
1.29	0.0	0.0
1.292	0.0	0.0
1.293	0.0	0.0
1.295	0.0	0.0
1.297	0.0	0.0
1.298	0.0	0.0
1.3	0.0	0.0
1.302	0.0	0.0
1.303	0.0	0.0
1.305	0.0	0.0
1.307	0.0	0.0
1.308	0.0	0.0
1.31	0.0	0.0
1.312	0.0	0.0
1.313	0.0	0.0
1.315	0.0	0.0
1.317	0.0	0.0
1.318	0.0	0.0
1.32	0.0	0.0
1.322	0.0	0.0
1.323	0.0	0.0
1.325	0.0	0.0
1.327	0.0	0.0
1.328	0.0	0.0
1.33	0.0	0.0
1.332	0.0	0.0
1.333	0.0	0.0
1.335	0.0	0.0
1.337	0.0	0.0
1.338	0.0	0.0
1.34	0.0	0.0
1.342	0.0	0.0
1.343	0.0	0.0
1.345	0.0	0.0
1.347	0.0	0.0
1.348	0.0	0.0
1.35	0.0	0.0
1.352	0.0	0.0
1.353	0.0	0.0
1.355	0.0	0.0
1.357	0.0	0.0
1.358	0.0	0.0
1.36	0.0	0.0
1.362	0.0	0.0
1.363	0.0	0.0
1.365	0.0	0.0
1.367	0.0	0.0
1.368	0.0	0.0
1.37	0.0	0.0
1.372	0.0	0.0
1.373	0.0	0.0
1.375	0.0	0.0
1.377	0.0	0.0
1.378	0.0	0.0
1.38	0.0	0.0
1.382	0.0	0.0
1.383	0.0	0.0
1.385	0.0	0.0
1.387	0.0	0.0
1.388	0.0	0.0
1.39	0.0	0.0
1.392	0.0	0.0
1.393	0.0	0.0
1.395	0.0	0.0
1.397	0.0	0.0
1.398	0.0	0.0
1.4	0.0	0.0
1.402	0.0	0.0
1.403	0.0	0.0
1.405	0.0	0.0
1.407	0.0	0.0
1.408	0.0	0.0
1.41	0.0	0.0
1.412	0.0	0.0
1.413	0.0	0.0
1.415	0.0	0.0
1.417	0.0	0.0
1.418	0.0	0.0
1.42	0.0	0.0
1.422	0.0	0.0
1.423	0.0	0.0
1.425	0.0	0.0
1.427	0.0	0.0
1.428	0.0	0.0
1.43	0.0	0.0
1.432	0.0	0.0
1.433	0.0	0.0
1.435	0.0	0.0
1.437	0.0	0.0
1.438	0.0	0.0
1.44	0.0	0.0
1.442	0.0	0.0
1.443	0.0	0.0
1.445	0.0	0.0
1.447	0.0	0.0
1.448	0.0	0.0
1.45	0.0	0.0
1.452	0.0	0.0
1.453	0.0	0.0
1.455	0.0	0.0
1.457	0.0	0.0
1.458	0.0	0.0
1.46	0.0	0.0
1.462	0.0	0.0
1.463	0.0	0.0
1.465	0.0	0.0
1.467	0.0	0.0
1.468	0.0	0.0
1.47	0.0	0.0
1.472	0.0	0.0
1.473	0.0	0.0
1.475	0.0	0.0
1.477	0.0	0.0
1.478	0.0	0.0
1.48	0.0	0.0
1.482	0.0	0.0
1.483	0.0	0.0
1.485	0.0	0.0
1.487	0.0	0.0
1.488	0.0	0.0
1.49	0.0	0.0
1.492	0.0	0.0
1.493	0.0	0.0
1.495	0.0	0.0
1.497	0.0	0.0
1.498	0.0	0.0
1.5	0.0	0.0
1.502	0.0	0.0
1.503	0.0	0.0
1.505	0.0	0.0
1.507	0.0	0.0
1.508	0.0	0.0
1.51	0.0	0.0
1.512	0.0	0.0
1.513	0.0	0.0
1.515	0.0	0.0
1.517	0.0	0.0
1.518	0.0	0.0
1.52	0.0	0.0
1.522	0.0	0.0
1.523	0.0	0.0
1.525	0.0	0.0
1.527	0.0	0.0
1.528	0.0	0.0
1.53	0.0	0.0
1.532	0.0	0.0
1.533	0.0	0.0
1.535	0.0	0.0
1.537	0.0	0.0
1.538	0.0	0.0
1.54	0.0	0.0
1.542	0.0	0.0
1.543	0.0	0.0
1.545	0.0	0.0
1.547	0.0	0.0
1.548	0.0	0.0
1.55	0.0	0.0
1.552	0.0	0.0
1.553	0.0	0.0
1.555	0.0	0.0
1.557	0.0	0.0
1.558	0.0	0.0
1.56	0.0	0.0
1.562	0.0	0.0
1.563	0.0	0.0
1.565	0.0	0.0
1.567	0.0	0.0
1.568	0.0	0.0
1.57	0.0	0.0
1.572	0.0	0.0
1.573	0.0	0.0
1.575	0.0	0.0
1.577	0.0	0.0
1.578	0.0	0.0
1.58	0.0	0.0
1.582	0.0	0.0
1.583	0.0	0.0
1.585	0.0	0.0
1.587	0.0	0.0
1.588	0.0	0.0
1.59	0.0	0.0
1.592	0.0	0.0
1.593	0.0	0.0
1.595	0.0	0.0
1.597	0.0	0.0
1.598	0.0	0.0
1.6	0.0	0.0
1.602	0.0	0.0
1.603	0.0	0.0
1.605	0.0	0.0
1.607	0.0	0.0
1.608	0.0	0.0
1.61	0.0	0.0
1.612	0.0	0.0
1.613	0.0	0.0
1.615	0.0	0.0
1.617	0.0	0.0
1.618	0.0	0.0
1.62	0.0	0.0
1.622	0.0	0.0
1.623	0.0	0.0
1.625	0.0	0.0
1.627	0.0	0.0
1.628	0.0	0.0
1.63	0.0	0.0
1.632	0.0	0.0
1.633	0.0	0.0
1.635	0.0	0.0
1.637	0.0	0.0
1.638	0.0	0.0
1.64	0.0	0.0
1.642	0.0	0.0
1.643	0.0	0.0
1.645	0.0	0.0
1.647	0.0	0.0
1.648	0.0	0.0
1.65	0.0	0.0
1.652	0.0	0.0
1.653	0.0	0.0
1.655	0.0	0.0
1.657	0.0	0.0
1.658	0.0	0.0
1.66	0.0	0.0
1.662	0.0	0.0
1.663	0.0	0.0
1.665	0.0	0.0
1.667	0.0	0.0
1.683	0.0	0.0
1.686	0.0	0.0
1.688	0.0	0.0
1.69	0.0	0.0
1.692	0.0	0.0
1.695	0.0	0.0
1.697	0.0	0.0
1.7	0.0	0.0
1.703	0.0	0.0
1.706	0.0	0.0
1.709	0.0	0.0
1.713	0.0	0.0
1.717	0.0	0.0
1.722	0.0	0.0
1.727	0.0	0.0
1.732	0.0	0.0
1.738	0.0	0.0
1.744	0.0	0.0
1.751	0.0	0.0
1.759	0.0	0.0
1.767	0.0	0.0
1.776	0.0	0.0
1.786	0.0	0.0
1.797	0.0	0.0
1.808	0.0	0.0
1.821	0.0	0.0
1.835	0.0	0.0
1.85	0.0	0.0
1.866	0.0	0.0
1.884	0.0	0.0
1.903	0.0	0.0
1.924	0.0	0.0
1.947	0.0	0.0
1.972	0.0	0.0
2.0	0.0	0.0
2.029	0.0	0.0
2.062	0.0	0.382379
2.097	0.0	0.416537
2.136	0.0	0.453746
2.178	0.0	0.4942770000000001
2.223	0.383973	0.5384289999999999
2.273	0.418273	0.586523
2.327	0.455637	0.638911
2.386	0.49633700000000003	0.695975
2.45	0.540671	0.758133
2.52	0.588964	0.825836
2.597	0.6415679999999999	0.899579
2.68	0.6988679999999999	0.979895
2.77	0.76128	1.06737
2.869	0.829259	1.16263
2.976	0.9033	1.26636
3.093	0.9839389999999999	1.37931
3.221	1.07176	1.50227
3.359	1.1673900000000001	1.63612
3.511	1.27152	1.7817699999999999
3.675	1.38489	1.94024
3.855	1.5083	2.11257
4.05	1.6426	2.2999
4.263	1.7887300000000002	2.50341
4.495	1.94766	2.72432
4.748	2.1204400000000003	2.96387
5.023	2.30818	3.22333
5.323	2.512	3.5039100000000003
5.65	2.7331	3.80671
6.005	2.97264	4.13272
6.393	3.23178	4.48265
6.815	3.51161	4.856920000000001
7.275	3.81306	5.25551
7.776	4.13689	5.6779
8.322	4.48357	6.12297
8.916	4.85319	6.58902
9.564	5.24536	7.07378
10.27	5.65919	7.57449
11.038	6.0932200000000005	8.08807
11.875	6.54541	8.61128
12.787	7.01328	9.14094
13.781	7.493989999999999	9.674019999999999
14.863	7.984509999999999	10.2078
16.042	8.48181	10.74
17.326	8.983	11.2684
18.725	9.48545	11.7914
20.249	9.98686	12.3076
21.909	10.4852	12.815399999999999
23.717	10.9789	13.313500000000001
25.687	11.4664	13.8005
27.833	11.946299999999999	14.2743
30.171	12.4175	14.7322
32.717	12.8785	15.169799999999999
35.491	13.3277	15.5782
38.513	13.7626	18.037499999999998
